,charge_min,charge_max,maximum_length,max_var_mods,missed_cleavages,num_var_mods,search_space
0,1,5,35,3,2,0,26171712
1,1,5,35,3,2,1,85100452
2,1,5,35,3,2,2,122117392
3,1,5,35,3,2,3,183605908
4,1,5,35,3,2,4,283111296
5,1,5,35,3,2,5,472291348
6,1,5,35,3,2,6,1015066472
7,1,5,35,3,2,7,1522620116
8,1,5,35,3,2,8,1830453760
9,1,5,35,3,2,9,2191959180
10,1,5,35,3,2,10,2626888376
11,1,5,35,3,2,11,3535734084
12,1,5,35,3,2,12,4553556012
13,1,5,35,3,2,13,5761841700
14,1,5,35,3,2,14,7081220872
15,1,5,35,3,2,15,8619745156
16,1,5,35,3,2,16,10270411220
17,1,5,35,3,2,17,12169972716
18,1,5,35,3,2,18,14290114004
19,1,5,35,3,2,19,16641740420
20,1,5,35,3,2,20,19235757300
21,1,5,35,3,2,21,22083069980
22,1,5,35,3,2,22,25194583796
23,1,5,35,3,2,23,28581204084
24,1,5,35,3,2,24,32253836180
25,1,5,35,3,2,25,36223385420
26,1,5,35,3,2,26,39067117116
27,2,5,35,3,2,0,19628784
28,2,5,35,3,2,1,63825339
29,2,5,35,3,2,2,91588044
30,2,5,35,3,2,3,137704431
31,2,5,35,3,2,4,212333472
32,2,5,35,3,2,5,354218511
33,2,5,35,3,2,6,761299854
34,2,5,35,3,2,7,1141965087
35,2,5,35,3,2,8,1372840320
36,2,5,35,3,2,9,1643969385
37,2,5,35,3,2,10,1970166282
38,2,5,35,3,2,11,2651800563
39,2,5,35,3,2,12,3415167009
40,2,5,35,3,2,13,4321381275
41,2,5,35,3,2,14,5310915654
42,2,5,35,3,2,15,6464808867
43,2,5,35,3,2,16,7702808415
44,2,5,35,3,2,17,9127479537
45,2,5,35,3,2,18,10717585503
46,2,5,35,3,2,19,12481305315
47,2,5,35,3,2,20,14426817975
48,2,5,35,3,2,21,16562302485
49,2,5,35,3,2,22,18895937847
50,2,5,35,3,2,23,21435903063
51,2,5,35,3,2,24,24190377135
52,2,5,35,3,2,25,27167539065
53,2,5,35,3,2,26,29300337837
